id	name
20	その他 ペット用品 Tシャツ(半袖/袖なし)
21	その他 ペット用品 Tシャツ(長袖/七分)
22	その他 ペット用品 カットソー(半袖/袖なし)
23	その他 ペット用品 カットソー(長袖/七分)
24	その他 ペット用品 シャツ/ブラウス(半袖/袖なし)
25	その他 ペット用品 シャツ/ブラウス(長袖/七分)
26	その他 ペット用品 ポロシャツ
27	その他 ペット用品 ニット/セーター
28	その他 ペット用品 パーカー
29	その他 ペット用品 カーディガン
30	その他 ペット用品 トレーナー/スウェット
31	その他 ペット用品 キャミソール
32	その他 ペット用品 タンクトップ
33	その他 ペット用品 ベアトップ/チューブトップ
34	その他 ペット用品 ホルターネック
35	その他 ペット用品 チュニック
36	その他 ペット用品 ベスト/ジレ
37	その他 ペット用品 アンサンブル
38	その他 ペット用品 ボレロ
39	その他 その他 テーラードジャケット
40	その他 その他 ライダースジャケット
41	その他 その他 Gジャン/デニムジャケット
42	その他 その他 ミリタリージャケット
43	その他 その他 ノーカラージャケット
44	その他 その他 ダウンジャケット
45	その他 その他 ダウンベスト
46	その他 その他 ブルゾン
47	その他 その他 ポンチョ
48	その他 その他 スタジャン
49	その他 その他 スカジャン
50	その他 その他 ロングコート
51	その他 その他 トレンチコート
52	その他 その他 ダッフルコート
53	その他 その他 ピーコート
54	その他 その他 モッズコート
55	その他 その他 毛皮/ファーコート
56	その他 その他 スプリングコート
57	その他 その他 ダウンコート
58	自動車/バイク 自動車/バイクその他 ミニワンピース
59	自動車/バイク 自動車/バイクその他 ひざ丈ワンピース
60	自動車/バイク 自動車/バイクその他 ロングワンピース/マキシワンピース
61	スポーツ/アウトドア スキー ハイヒール/パンプス
62	スポーツ/アウトドア スキー ブーツ
63	スポーツ/アウトドア スキー サンダル
64	スポーツ/アウトドア スキー スニーカー
65	スポーツ/アウトドア スキー ミュール
66	スポーツ/アウトドア スキー ローファー/革靴
67	スポーツ/アウトドア スキー レインブーツ/長靴
68	スポーツ/アウトドア ゴルフ デニム/ジーンズ
69	スポーツ/アウトドア ゴルフ ショートパンツ
70	スポーツ/アウトドア ゴルフ カジュアルパンツ
71	スポーツ/アウトドア ゴルフ ハーフパンツ
72	スポーツ/アウトドア ゴルフ チノパン
73	スポーツ/アウトドア ゴルフ ワークパンツ/カーゴパンツ
74	スポーツ/アウトドア ゴルフ クロップドパンツ
75	スポーツ/アウトドア ゴルフ サロペット/オーバーオール
76	スポーツ/アウトドア ゴルフ オールインワン
77	スポーツ/アウトドア ゴルフ キュロット
78	スポーツ/アウトドア ゴルフ サルエルパンツ
79	スポーツ/アウトドア ランニング ミニスカート
80	スポーツ/アウトドア ランニング ひざ丈スカート
81	スポーツ/アウトドア ランニング ロングスカート
82	スポーツ/アウトドア 自転車 リング(指輪)
83	スポーツ/アウトドア 自転車 ネックレス
84	スポーツ/アウトドア 自転車 ブレスレット/バングル
85	スポーツ/アウトドア 自転車 ピアス
86	スポーツ/アウトドア 自転車 イヤリング
87	スポーツ/アウトドア 自転車 ブローチ/コサージュ
88	スポーツ/アウトドア フィッシング ヘアバンド
89	スポーツ/アウトドア フィッシング カチューシャ
90	スポーツ/アウトドア フィッシング ヘアゴム/シュシュ
96	ハンドメイド 素材/材料 ルームウェア
97	ハンドメイド 素材/材料 パジャマ
98	インテリア/住まい/日用品 インテリア/住まい/日用品その他 ソックス
99	インテリア/住まい/日用品 インテリア/住まい/日用品その他 レギンス/スパッツ
100	インテリア/住まい/日用品 インテリア/住まい/日用品その他 タイツ/ストッキング
101	インテリア/住まい/日用品 インテリア/住まい/日用品その他 レッグウォーマー
102	スポーツ/アウトドア スノーボード ベルト
103	スポーツ/アウトドア スノーボード サングラス/メガネ
104	スポーツ/アウトドア スノーボード 腕時計
105	スポーツ/アウトドア スノーボード 財布
106	スポーツ/アウトドア スノーボード マフラー/ショール
107	スポーツ/アウトドア スノーボード ストール/パシュミナ
108	エンタメ/ホビー ミリタリー 前髪ウィッグ
109	エンタメ/ホビー ミリタリー ロングストレート
110	エンタメ/ホビー ミリタリー ロングカール
111	エンタメ/ホビー ミリタリー ショートストレート
112	エンタメ/ホビー ミリタリー ショートカール
113	その他 ペット用品 その他
114	スポーツ/アウトドア ゴルフ つけ爪/ネイルチップ
115	スポーツ/アウトドア ゴルフ ネイルケア
116	スポーツ/アウトドア ゴルフ その他
117	スポーツ/アウトドア ランニング 香水(女性用)
118	スポーツ/アウトドア トレーニング/エクササイズ ヘアケア
119	スポーツ/アウトドア スノーボード その他
120	スポーツ/アウトドア アウトドア 浴衣
121	スポーツ/アウトドア アウトドア 浴衣帯
122	スポーツ/アウトドア アウトドア 着物
123	スポーツ/アウトドア アウトドア 振袖
124	スポーツ/アウトドア アウトドア 帯
125	スポーツ/アウトドア アウトドア 和装小物
126	スポーツ/アウトドア アウトドア 水着
127	スポーツ/アウトドア スポーツ/アウトドアその他 スーツ
128	スポーツ/アウトドア スポーツ/アウトドアその他 その他ドレス
129	ハンドメイド ハンドメイドその他 マタニティウェア
130	ハンドメイド ハンドメイドその他 その他
131	自動車/バイク 自動車/バイクその他 ロンパース
132	自動車/バイク 自動車/バイクその他 カバーオール
133	スポーツ/アウトドア ランニング その他
134	インテリア/住まい/日用品 インテリア/住まい/日用品その他 その他
135	スポーツ/アウトドア スキー ベビーカー/バギー
136	エンタメ/ホビー エンタメその他 その他
137	その他 その他 その他
138	スポーツ/アウトドア トレーニング/エクササイズ ショルダーバッグ
139	スポーツ/アウトドア トレーニング/エクササイズ ハンドバッグ
140	スポーツ/アウトドア トレーニング/エクササイズ トートバッグ
141	スポーツ/アウトドア トレーニング/エクササイズ リュック/バックパック
142	スポーツ/アウトドア トレーニング/エクササイズ ボストンバッグ
143	スポーツ/アウトドア トレーニング/エクササイズ クラッチバッグ
144	スポーツ/アウトドア トレーニング/エクササイズ エコバッグ
145	スポーツ/アウトドア トレーニング/エクササイズ ボディバッグ/ウエストポーチ
